Plate	Well	HFAID	GeneID
1	D09	HFA03118	CG8886
1	D10	HFA03347	CG10377
1	D11	HFA03119	CG8890
1	D12	HFA02016	CG10158
1	D13	HFA03121	CG8892
1	D14	HFA03157	CG9211
1	D15	HFA03122	CG33113
1	D16	HFA03156	CG9207
1	D17	HFA02684	CG33113
1	D18	HFA03424	CG3423
1	D19	HFA02732	CG3887
1	D20	HFA02713	CG3430
1	D21	HFA03291	CG4145
1	D22	HFA01996	CG3433
1	D23	HFA03140	CG31650
1	D24	HFA03611	CG4494
1	E01	HFA00773	CG4574
1	E02	HFA00564	CG3077
1	E03	HFA00332	CG11912
1	E04	HFA00547	CG2855
1	E05	HFA00331	CG11911
1	E06	HFA00808	CG3057
1	E07	HFA00330	CG11907
1	E08	HFA00840	CG3139
1	E09	HFA00780	CG4033
1	E10	HFA00479	CG16987
1	E11	HFA00816	CG4063
1	E12	HFA00559	CG2991
1	E13	HFA00817	CG4114
1	E14	HFA00706	CG8813
1	E15	HFA00267	CG4184
1	E16	HFA00707	CG8814
1	E17	HFA00655	CG4427
1	E18	HFA00565	CG3083
1	E19	HFA00843	CG2762
1	E20	HFA00804	CG18627
1	E21	HFA00828	CG3018
1	E22	HFA00761	CG3059
1	E23	HFA00328	CG11840
1	E24	NA	NA
1	F01	HFA02898	CG31919
1	F02	HFA02714	CG3476
1	F03	HFA01995	CG9124
1	F04	HFA02137	CG11266
1	F05	HFA02681	CG31918
1	F06	HFA02281	CG13777
1	F07	HFA02364	CG14039
1	F08	HFA03123	CG8902
1	F09	HFA03149	CG31651
1	F10	HFA02752	CG4495
1	F11	HFA02740	CG4230
1	F12	HFA02754	CG4497
1	F13	HFA03369	CG33715
1	F14	HFA02755	CG4502
1	F15	HFA03298	CG10833
1	F16	HFA02287	CG13784
1	F17	HFA03066	CG7742
1	F18	HFA02770	CG4675
1	F19	HFA03623	CG14026
1	F20	HFA03579	CG5125
1	F21	HFA02358	CG14033
1	F22	HFA02819	CG5149
1	F23	HFA03302	CG14032
1	F24	HFA02823	CG5171
1	G01	HFA00325	CG11822
1	G02	HFA00779	CG3151
1	G03	HFA00533	CG2789
1	G04	HFA00820	CG3157
1	G05	HFA00538	CG2813
1	G06	HFA00721	CG9641
1	G07	HFA00775	CG2819
1	G08	HFA00573	CG3165
1	G09	HFA00542	CG2830
1	G10	HFA00745	CG3733
1	G11	HFA00749	CG3159
1	G12	HFA00834	CG3736
1	G13	HFA00613	CG3544
1	G14	HFA00615	CG3558
1	G15	HFA00772	CG3324
1	G16	HFA00500	CG17264
1	G17	HFA00616	CG3561
1	G18	HFA00488	CG17223
1	G19	HFA00633	CG3883
1	G20	HFA00612	CG3542
1	G21	HFA00632	CG3876
1	G22	HFA00619	CG3605
1	G23	HFA00626	CG3662
1	G24	HFA00494	CG17257
1	H01	HFA03304	CG14031
1	H02	HFA02824	CG5177
1	H03	HFA02007	CG14025
1	H04	HFA02825	CG5181
1	H05	HFA02357	CG14030
1	H06	HFA02505	CG15818
1	H07	HFA02354	CG14024
1	H08	HFA03341	CG5229
1	H09	HFA02353	CG14023
1	H10	HFA02918	CG5973
1	H11	HFA02351	CG14021
1	H12	HFA02180	CG12789
1	H13	HFA03052	CG7382
1	H14	HFA03406	CG33529
1	H15	HFA02118	CG11024
1	H16	HFA03305	CG6730
1	H17	HFA03040	CG7277
1	H18	HFA03436	CG6772
1	H19	HFA03342	CG7269
1	H20	HFA02678	CG18585
1	H21	HFA03001	CG6957
1	H22	HFA03028	CG7214
1	H23	HFA03039	CG7251
1	H24	HFA03017	CG7154
1	I01	HFA00631	CG3862
1	I02	HFA00496	CG17259
1	I03	HFA00812	CG3727
1	I04	HFA00497	CG17260
1	I05	HFA00814	CG3365
1	I06	HFA00610	CG3524
1	I07	HFA00650	CG4291
1	I08	HFA00268	CG3523
1	I09	HFA00811	CG4258
1	I10	HFA00842	CG9660
1	I11	HFA00638	CG33526
1	I12	HFA00709	NA
1	I13	HFA00830	CG3966
1	I14	HFA00607	CG3488
1	I15	HFA00757	CG4178
1	I16	HFA00523	CG18555
1	I17	HFA00642	CG4226
1	I18	HFA00594	CG3332
1	I19	HFA00272	CG4341
1	I20	HFA00725	CG9664
1	I21	HFA00652	CG31795
1	I22	HFA00724	CG9663
1	I23	NA	NA
1	I24	HFA00592	CG3326
1	J01	HFA02659	CG18266
1	J02	HFA03016	CG7149
1	J03	HFA02128	CG11142
1	J04	HFA03015	CG7144
1	J05	HFA03152	NA
1	J06	HFA02394	CG14536
1	J07	HFA02337	CG14005
1	J08	HFA03360	CG7123
1	J09	HFA03038	CG7239
1	J10	HFA03574	CG7109
1	J11	HFA03125	CG8965
1	J12	HFA02647	CG7102
1	J13	HFA03128	CG9021
1	J14	HFA03004	CG7093
1	J15	HFA03336	CG9042
1	J16	HFA03032	CG7227
1	J17	HFA03130	CG9044
1	J18	HFA03030	CG7221
1	J19	HFA03549	CG9078
1	J20	HFA03058	CG7466
1	J21	HFA03133	CG9088
1	J22	HFA03593	CG14472
1	J23	NA	NA
1	J24	HFA03366	CG7586
1	K01	HFA00803	CG4426
1	K02	HFA00589	CG3285
1	K03	HFA00656	CG4428
1	K04	HFA00712	CG8838
1	K05	HFA00660	CG4644
1	K06	HFA00591	CG3304
1	K07	HFA00662	CG4710
1	K08	HFA00776	CG3289
1	K09	HFA00663	CG4715
1	K10	HFA00585	CG3248
1	K11	HFA00665	CG4749
1	K12	HFA00714	CG8843
1	K13	HFA00666	CG4764
1	K14	HFA00829	CG3241
1	K15	HFA00677	CG5080
1	K16	HFA00715	CG8844
1	K17	HFA00668	CG4785
1	K18	HFA00582	CG3238
1	K19	HFA00678	CG5105
1	K20	HFA00770	CG8846
1	K21	HFA00679	CG5118
1	K22	HFA00841	CG3234
1	K23	HFA00671	CG4896
1	K24	HFA00580	CG31954
1	L01	HFA03138	CG9107
1	L02	HFA02163	CG12375
1	L03	HFA03139	CG9109
1	L04	HFA03101	CG8668
1	L05	HFA03576	CG9115
1	L06	HFA03095	CG8552
1	L07	HFA03480	CG9127
1	L08	HFA03094	CG8506
1	L09	HFA03143	CG9131
1	L10	HFA03092	CG8486
1	L11	HFA02164	CG12393
1	L12	HFA03091	CG8475
1	L13	HFA03144	CG9135
1	L14	HFA03090	CG8460
1	L15	HFA03145	CG9140
1	L16	HFA03088	CG8451
1	L17	HFA03150	CG9154
1	L18	HFA03446	CG8409
1	L19	HFA03151	CG9162
1	L20	HFA03086	CG8372
1	L21	HFA03355	CG18783
1	L22	HFA03081	CG8282
1	L23	HFA03153	CG9175
1	L24	HFA03080	CG8222
1	M01	HFA00680	CG5126
1	M02	HFA00818	CG10033
1	M03	HFA00672	CG4947
1	M04	HFA00283	CG31778
1	M05	HFA00674	CG5011
1	M06	HFA00540	CG2818
1	M07	HFA00683	CG5397
1	M08	HFA00805	CG10021
1	M09	HFA00743	CG5450
1	M10	HFA00634	CG3920
1	M11	HFA00691	CG5481
1	M12	HFA00603	CG3407
1	M13	HFA00293	CG31928
1	M14	HFA00835	CG16738
1	M15	HFA00704	CG7420
1	M16	HFA00636	CG3964
1	M17	HFA00290	CG10869
1	M18	HFA00637	CG3980
1	M19	HFA00292	CG31666
1	M20	HFA00807	CG3399
1	M21	HFA00809	CG17158
1	M22	HFA00350	CG12676
1	M23	HFA00513	CG17660
1	M24	HFA00552	CG2955
1	N01	HFA02919	CG31642
1	N02	HFA03078	CG8086
1	N03	HFA03159	CG9226
1	N04	HFA02666	CG8049
1	N05	HFA03293	CG11567
1	N06	HFA03077	CG7870
1	N07	HFA03234	CG9497
1	N08	HFA03075	CG7840
1	N09	HFA03239	CG9505
1	N10	HFA03074	CG7830
1	N11	HFA03241	CG9507
1	N12	HFA03073	CG7818
1	N13	HFA03247	CG9523
1	N14	HFA03072	CG7810
1	N15	HFA03252	CG9528
1	N16	HFA03071	CG7806
1	N17	HFA03250	CG9526
1	N18	HFA03067	CG7778
1	N19	HFA03253	CG9531
1	N20	HFA03065	CG7627
1	N21	HFA02002	CG9535
1	N22	HFA03419	CG13389
1	N23	HFA03254	CG9536
1	N24	HFA02257	NA
1	O01	HFA00520	CG18317
1	O02	HFA00553	CG2958
1	O03	HFA00514	CG31937
1	O04	HFA00630	CG3714
1	O05	HFA00507	CG17646
1	O06	HFA00819	CG3352
1	O07	HFA00266	CG17712
1	O08	HFA00628	CG3702
1	O09	HFA00389	CG31663
1	O10	HFA00271	CG16857
1	O11	HFA00701	NA
1	O12	HFA00794	CG3048
1	O13	HFA00700	CG31670
1	O14	HFA00505	CG17612
1	O15	HFA00301	CG10908
1	O16	HFA00595	CG3338
1	O17	HFA00697	CG7289
1	O18	HFA00269	CG4104
1	O19	HFA00643	CG4233
1	O20	HFA00826	CG3054
1	O21	HFA00791	CG4244
1	O22	HFA00264	CG15437
1	O23	HFA00827	CG31672
1	O24	HFA00452	CG15438
1	P01	HFA03256	CG9539
1	P02	HFA02594	CG17292
1	P03	HFA03255	CG9537
1	P04	NA	NA
1	P05	HFA02003	CG9543
1	P06	HFA02596	CG17294
1	P07	HFA03260	CG9547
1	P08	HFA01851	CG13391
1	P09	HFA02270	CG31637
1	P10	HFA02258	CG13384
1	P11	HFA03510	CG9554
1	P12	HFA03528	CG13387
1	P13	HFA02124	CG31911
1	P14	HFA02267	CG13397
1	P15	HFA02125	CG11050
1	P16	HFA01864	CG13388
1	P17	HFA02127	CG11098
1	P18	HFA03540	CG17610
1	P19	HFA02004	CG11070
1	P20	HFA03311	CG13400
1	P21	HFA03516	CG11181
1	P22	HFA03532	CG17608
1	P23	HFA03161	CG9232
1	P24	HFA02072	CG10595
