filename	well	value
FT01-G01	K05	1245444
FT01-G01	K06	1283216
FT01-G01	K07	1300908
FT01-G01	K08	1368245
FT01-G01	K09	1353169
FT01-G01	K10	1325073
FT01-G01	K11	1295120
FT01-G01	K12	1262380
FT01-G01	K13	1313016
FT01-G01	K14	1369425
FT01-G01	K15	1279032
FT01-G01	K16	1285140
FT01-G01	K17	1370129
FT01-G01	K18	1298728
FT01-G01	K19	1281796
FT01-G01	K20	1354177
FT01-G01	K21	1283420
FT01-G01	K22	1384533
FT01-G01	K23	1383301
FT01-G01	K24	1537427
FT01-G01	L01	1619904
FT01-G01	L02	1496871
FT01-G01	L03	1428502
FT01-G01	L04	1428974
FT01-G01	L05	1304272
FT01-G01	L06	1372189
FT01-G01	L07	1344061
FT01-G01	L08	1366225
FT01-G01	L09	1445526
FT01-G01	L10	1385509
FT01-G01	L11	1374973
FT01-G01	L12	1276996
FT01-G01	L13	1259536
FT01-G01	L14	1342593
FT01-G01	L15	1190031
FT01-G01	L16	1307264
FT01-G01	L17	1322705
FT01-G01	L18	1319284
FT01-G01	L19	1368629
FT01-G01	L20	1346333
FT01-G01	L21	1377617
FT01-G01	L22	1423762
FT01-G01	L23	1620436
FT01-G01	L24	530650
FT01-G01	M01	1603156
FT01-G01	M02	1648009
FT01-G01	M03	1399830
FT01-G01	M04	1469158
FT01-G01	M05	1481619
FT01-G01	M06	1412442
FT01-G01	M07	1363765
FT01-G01	M08	1385977
FT01-G01	M09	1482771
FT01-G01	M10	1451262
FT01-G01	M11	1331749
FT01-G01	M12	1345745
FT01-G01	M13	1387417
FT01-G01	M14	1392465
FT01-G01	M15	1405122
FT01-G01	M16	1335809
FT01-G01	M17	1520607
FT01-G01	M18	1355185
FT01-G01	M19	1472706
FT01-G01	M20	1429910
FT01-G01	M21	1579364
FT01-G01	M22	1427778
FT01-G01	M23	1483859
FT01-G01	M24	1524519
FT01-G01	N01	1700381
FT01-G01	N02	1646973
FT01-G01	N03	1473286
FT01-G01	N04	1530399
FT01-G01	N05	1447582
FT01-G01	N06	1439766
FT01-G01	N07	1453406
FT01-G01	N08	1435474
FT01-G01	N09	1370237
FT01-G01	N10	1369769
FT01-G01	N11	1356137
FT01-G01	N12	1463014
FT01-G01	N13	1385553
FT01-G01	N14	1378501
FT01-G01	N15	1345493
FT01-G01	N16	1390257
FT01-G01	N17	1340197
FT01-G01	N18	1400426
FT01-G01	N19	1354357
FT01-G01	N20	1339669
FT01-G01	N21	1304592
FT01-G01	N22	865439
FT01-G01	N23	1493267
FT01-G01	N24	1523991
FT01-G01	O01	1535923
FT01-G01	O02	1440286
FT01-G01	O03	1380369
FT01-G01	O04	1367493
FT01-G01	O05	1360349
FT01-G01	O06	1340969
FT01-G01	O07	1330653
FT01-G01	O08	1325313
FT01-G01	O09	1395753
FT01-G01	O10	1333285
FT01-G01	O11	1338513
FT01-G01	O12	1369469
FT01-G01	O13	1403262
FT01-G01	O14	1335569
FT01-G01	O15	1374629
FT01-G01	O16	1331313
FT01-G01	O17	1388905
FT01-G01	O18	1336425
FT01-G01	O19	1340473
FT01-G01	O20	1308368
FT01-G01	O21	1355409
FT01-G01	O22	1260624
FT01-G01	O23	1399009
FT01-G01	O24	1495747
FT01-G01	P01	1598228
FT01-G01	P02	1472422
FT01-G01	P03	1464498
FT01-G01	P04	1405970
FT01-G01	P05	1351653
FT01-G01	P06	1430434
FT01-G01	P07	1430522
FT01-G01	P08	1420802
FT01-G01	P09	1397029
FT01-G01	P10	1440390
FT01-G01	P11	1418518
FT01-G01	P12	1264708
FT01-G01	P13	1373189
FT01-G01	P14	1380449
FT01-G01	P15	1293864
FT01-G01	P16	1314160
FT01-G01	P17	1353337
FT01-G01	P18	1386109
FT01-G01	P19	1345245
FT01-G01	P20	1474742
FT01-G01	P21	1342021
FT01-G01	P22	1270688
FT01-G01	P23	1269200
FT01-G01	P24	1222563
